INFO 2012-01-18 15:37:12,423 138514179535384: Imported successfully as UPMC Shadyside
INFO 2012-01-18 15:37:12,431 153854531293362: Imported successfully as Verizon Wireless
INFO 2012-01-18 15:37:12,457 131275319256: Imported successfully as Contemporary Craft
INFO 2012-01-18 15:37:12,465 152255518124602: Imported successfully as The Isaly Company
INFO 2012-01-18 15:37:12,488 147741875257105: Imported successfully as Langley Hall (University Of Pittsburgh)
INFO 2012-01-18 15:37:12,501 126311060772411: Imported successfully as Ref's Sports Bar
INFO 2012-01-18 15:37:12,528 116982878368559: Imported successfully as Consol Energy Center
INFO 2012-01-18 15:37:12,536 181150288633488: Imported successfully as Signature Financial Planning
INFO 2012-01-18 15:37:12,545 102237666485449: Imported successfully as Jimmy's Corporate Catering
INFO 2012-01-18 15:37:12,553 221561024537121: Imported successfully as Cirque De Soleil Tent
INFO 2012-01-18 15:37:12,560 255057277858934: Imported successfully as Pittsburgh Panthers At Heinz Field
INFO 2012-01-18 15:37:12,567 120591414620575: Imported successfully as Days Inn Pittsburgh-Banksville Road
INFO 2012-01-18 15:37:12,573 145928185470668: Imported successfully as Wines and Spirits
INFO 2012-01-18 15:37:12,582 144020702323176: Imported successfully as UPMC Kaufman Bldg
INFO 2012-01-18 15:37:12,589 242888025765417: Imported successfully as Inspired By New York City
INFO 2012-01-18 15:37:12,596 186845948013085: Imported successfully as Parkway Florist
INFO 2012-01-18 15:37:12,638 121784667888585: Imported successfully as Venture Engineering & Construction
INFO 2012-01-18 15:37:12,645 153657781320725: Imported successfully as College Hall
INFO 2012-01-18 15:37:12,652 109165872483391: Imported successfully as Splash at Market Square
INFO 2012-01-18 15:37:12,661 276747585682103: Imported successfully as Light the Night walk at Heinz Field
INFO 2012-01-18 15:37:12,668 186985854664583: Imported successfully as My Mom's House
INFO 2012-01-18 15:37:12,676 130262250694: Imported successfully as Emanuel United Methodist Church
INFO 2012-01-18 15:37:12,684 34546990712: Imported successfully as Undeclared Students
INFO 2012-01-18 15:37:12,718 151910648439: Imported successfully as Quaker Valley School District
INFO 2012-01-18 15:37:12,729 142663989120618: Imported successfully as Houlahan's
INFO 2012-01-18 15:37:12,736 156523981045773: Imported successfully as Urgent Care
INFO 2012-01-18 15:37:12,743 202255509815201: Imported successfully as Allegheny center for Digestive Health
INFO 2012-01-18 15:37:12,750 148522035176268: Imported successfully as Rockwell Hall
INFO 2012-01-18 15:37:12,776 197562013597496: Imported successfully as Ugly dog saloon
INFO 2012-01-18 15:37:12,783 218199124868905: Imported successfully as Schoolhouse Yoga
INFO 2012-01-18 15:37:12,792 231980506846337: Imported successfully as Brighton place
INFO 2012-01-18 15:37:12,809 142889405726981: Imported successfully as LOCAL TOW - MT Oliver PA
INFO 2012-01-18 15:37:12,836 227425323964628: Imported successfully as The Cemetary Of Hopes And Dreams
INFO 2012-01-18 15:37:12,843 100867083291629: Imported successfully as Deliverance Baptist Christian Center
INFO 2012-01-18 15:37:12,850 160138694048932: Imported successfully as UCP
INFO 2012-01-18 15:37:12,857 112160511771: Imported successfully as REALTORS® Association of Metropolitan Pittsburgh (RAMP)
INFO 2012-01-18 15:37:12,897 114211448609902: Imported successfully as Scores Pizza & Wings
INFO 2012-01-18 15:37:12,907 143424259028044: Imported successfully as Hamerschlag Hall
INFO 2012-01-18 15:37:12,913 143205219070328: Imported successfully as nails club
INFO 2012-01-18 15:37:12,920 213981311963014: Imported successfully as slopp'y joe's cafe
INFO 2012-01-18 15:37:12,928 220308404654858: Imported successfully as Ichiban Japenese Restau
INFO 2012-01-18 15:37:12,937 186031314749195: Imported successfully as Carnegie Library of Pittsburgh- Reference Services
INFO 2012-01-18 15:37:12,963 249684245046170: Imported successfully as Delanie's Coffee
INFO 2012-01-18 15:37:12,972 180127885369416: Imported successfully as Warrington Rec Center
INFO 2012-01-18 15:37:13,003 184478418254548: Imported successfully as The Cuckoo's Nest Magic Shop
INFO 2012-01-18 15:37:13,021 139348789467505: Imported successfully as Sojourn Catering and Deli
INFO 2012-01-18 15:37:13,028 113878198644169: Imported successfully as St John The Baptist Cathedral
INFO 2012-01-18 15:37:13,035 193239647352950: Imported successfully as Lunas
INFO 2012-01-18 15:37:13,042 139977682732847: Imported successfully as Contact One Communications
INFO 2012-01-18 15:37:13,049 120166008033623: Imported successfully as The Dentistry
INFO 2012-01-18 15:37:13,059 167193763299724: Imported successfully as Images
INFO 2012-01-18 15:37:13,088 118609868196921: Imported successfully as Future nails
INFO 2012-01-18 15:37:13,101 156610694396310: Imported successfully as NEED
INFO 2012-01-18 15:37:13,109 128215377246845: Imported successfully as Village Lanes
INFO 2012-01-18 15:37:13,115 144907312198525: Imported successfully as True Value
INFO 2012-01-18 15:37:13,128 207364009307413: Imported successfully as Nails 1
INFO 2012-01-18 15:37:13,174 214818971891480: Imported successfully as K-7 Parking Company
INFO 2012-01-18 15:37:13,185 116069371748726: Imported successfully as Wicked Witches Dam View Hotel
INFO 2012-01-18 15:37:13,193 126200344129414: Imported successfully as Brix Wood-fired Wine Bar
INFO 2012-01-18 15:37:13,200 167074176678880: Imported successfully as Uncle Sams
INFO 2012-01-18 15:37:13,212 116128205078019: Imported successfully as Saint Mary's Russian Orthodox Church
INFO 2012-01-18 15:37:13,229 113228848692514: Imported successfully as 3G Gallery
INFO 2012-01-18 15:37:13,236 150839504947647: Imported successfully as Point Park University Student Center
INFO 2012-01-18 15:37:13,243 117289278290208: Imported successfully as Me KONG Restaurant
INFO 2012-01-18 15:37:13,266 130213747040549: Imported successfully as US Steel Tower
INFO 2012-01-18 15:37:13,273 239675519385451: Imported successfully as Pittsburgh Macaroni Co.
INFO 2012-01-18 15:37:13,281 120474217965667: Imported successfully as 1902 Tavern LP
