INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 145928185470668
INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 144020702323176
INFO 2012-01-18 22:25:19,465 Importing events for Facebook page 242888025765417
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 186845948013085
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 121784667888585
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 153657781320725
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 109165872483391
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 276747585682103
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 186985854664583
INFO 2012-01-18 22:25:19,466 Importing events for Facebook page 130262250694
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 34546990712
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 151910648439
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 142663989120618
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 156523981045773
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 202255509815201
INFO 2012-01-18 22:25:19,467 Importing events for Facebook page 148522035176268
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 197562013597496
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 218199124868905
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 231980506846337
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 142889405726981
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 227425323964628
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 100867083291629
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 160138694048932
INFO 2012-01-18 22:25:19,468 Importing events for Facebook page 112160511771
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 114211448609902
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 143424259028044
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 143205219070328
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 213981311963014
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 220308404654858
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 186031314749195
INFO 2012-01-18 22:25:19,469 Importing events for Facebook page 249684245046170
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 180127885369416
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 184478418254548
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 139348789467505
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 113878198644169
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 193239647352950
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 139977682732847
INFO 2012-01-18 22:25:19,470 Importing events for Facebook page 120166008033623
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 167193763299724
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 118609868196921
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 156610694396310
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 128215377246845
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 144907312198525
INFO 2012-01-18 22:25:19,471 Importing events for Facebook page 207364009307413
INFO 2012-01-18 22:25:19,472 Importing events for Facebook page 214818971891480
INFO 2012-01-18 22:25:19,472 Importing events for Facebook page 116069371748726
INFO 2012-01-18 22:25:19,472 Importing events for Facebook page 126200344129414
INFO 2012-01-18 22:25:19,472 Importing events for Facebook page 167074176678880
INFO 2012-01-18 22:25:19,493 Importing events for Facebook page 116128205078019
INFO 2012-01-18 22:25:19,493 Importing events for Facebook page 113228848692514
INFO 2012-01-18 22:25:19,494 Importing events for Facebook page 150839504947647
INFO 2012-01-18 22:25:19,494 Importing events for Facebook page 117289278290208
INFO 2012-01-18 22:25:19,494 Importing events for Facebook page 130213747040549
INFO 2012-01-18 22:25:19,495 Importing events for Facebook page 239675519385451
INFO 2012-01-18 22:25:19,495 Importing events for Facebook page 120474217965667
INFO 2012-01-18 22:25:19,495 Importing events for Facebook page 104977172878649
INFO 2012-01-18 22:25:19,495 Importing events for Facebook page 111764812194541
INFO 2012-01-18 22:25:19,496 Importing events for Facebook page 180902858642568
INFO 2012-01-18 22:25:19,496 Importing events for Facebook page 149345171788539
INFO 2012-01-18 22:25:19,496 Importing events for Facebook page 122182021164163
INFO 2012-01-18 22:25:19,496 Importing events for Facebook page 195980203767307
INFO 2012-01-18 22:25:19,496 Importing events for Facebook page 119442608108558
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 215883915110642
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 197008483651566
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 116080838420921
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 123165487735685
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 113673298665674
INFO 2012-01-18 22:25:19,497 Importing events for Facebook page 152762014736625
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 171269079562658
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 241912929168441
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 134704143276634
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 7133766387
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 113206472040959
INFO 2012-01-18 22:25:19,498 Importing events for Facebook page 109285682463063
INFO 2012-01-18 22:25:19,499 Importing events for Facebook page 246747995358891
INFO 2012-01-18 22:25:19,499 Importing events for Facebook page 160979356395
INFO 2012-01-18 22:25:19,499 Importing events for Facebook page 110895165661034
INFO 2012-01-18 22:25:19,499 Importing events for Facebook page 126247687443500
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 117360728282716
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 117109221641993
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 100861466624993
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 135686666524443
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 88731100414
INFO 2012-01-18 22:25:19,500 Importing events for Facebook page 197410303634389
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 138169599541277
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 141542175885536
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 176219525728075
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 181379998559985
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 140091712718398
INFO 2012-01-18 22:25:19,501 Importing events for Facebook page 150985594918253
INFO 2012-01-18 22:25:19,502 Importing events for Facebook page 116266365122506
INFO 2012-01-18 22:25:19,502 Importing events for Facebook page 134937769883320
INFO 2012-01-18 22:25:19,502 Importing events for Facebook page 295134029152
INFO 2012-01-18 22:25:19,503 Importing events for Facebook page 122092017885831
INFO 2012-01-18 22:25:19,508 Importing events for Facebook page 166807136693097
INFO 2012-01-18 22:25:19,508 Importing events for Facebook page 218312898227069
INFO 2012-01-18 22:25:19,508 Importing events for Facebook page 157464394315097
INFO 2012-01-18 22:25:19,508 Importing events for Facebook page 216727341684096
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 161777667170597
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 119812341403652
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 123168454430695
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 106149252774801
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 144154445644666
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 154782974610049
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 128999123791195
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 113820838651034
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 141511282556066
INFO 2012-01-18 22:25:19,509 Importing events for Facebook page 134875564168
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 308245892524654
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 125923457477247
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 181178868593987
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 222082444476831
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 199705890051455
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 212424317844
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 144886528875709
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 161796890542622
INFO 2012-01-18 22:25:19,510 Importing events for Facebook page 306414439514
INFO 2012-01-18 22:25:19,511 Importing events for Facebook page 232114703471616
INFO 2012-01-18 22:25:19,511 Importing events for Facebook page 210976735601165
INFO 2012-01-18 22:25:19,511 Importing events for Facebook page 203025956399145
INFO 2012-01-18 22:25:19,511 Importing events for Facebook page 148589248492633
INFO 2012-01-18 22:25:19,511 Importing events for Facebook page 163563300376095
